,months_causal,total_months,causality_strength,stability_score
VWUSX_adjusted_close,0,49,[],0.0
TMUS_open,0,49,[],0.0
GLD_volume,0,49,[],0.0
SWPPX_adjusted_close,0,49,[],0.0
EURCHF_close_fract,0,49,[],0.0
CADJPY_close,0,49,[],0.0
AGG_close,0,49,[],0.0
ADBE_close,0,49,[],0.0
CADJPY_high,0,49,[],0.0
CADJPY_open,0,49,[],0.0
TSLA_low,0,49,[],0.0
ORCL_close,0,49,[],0.0
AUDNZD_close_fract,0,49,[],0.0
XLM_low,0,49,[],0.0
SPY_volume,0,49,[],0.0
XAUUSD_adjusted_close,0,49,[],0.0
GOOG_adjusted_close,1,49,[np.int64(2)],0.0
UNG_low,0,49,[],0.0
XLK_close,0,49,[],0.0
XAUUSD_low,0,49,[],0.0
BSESN.INDX_high,0,49,[],0.0
AUDCHF_open,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
QNT_low,0,49,[],0.0
EURCHF_open,0,49,[],0.0
XRP_volume,0,49,[],0.0
UNH_adjusted_close,0,49,[],0.0
META_adjusted_close,0,49,[],0.0
MCD_high,2,49,"[np.int64(2), np.int64(2)]",1.0
ETC_adjusted_close,0,49,[],0.0
SWPPX_low,0,49,[],0.0
VSMAX_open,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
AUDUSD_volume,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
EURUSD_close,0,49,[],0.0
SPY_low,0,49,[],0.0
ETC_high,0,49,[],0.0
TRX_adjusted_close,0,49,[],0.0
XAUUSD_volume,0,49,[],0.0
AUDCHF_close_fract,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
KO_adjusted_close,0,49,[],0.0
WEAT_volume,0,49,[],0.0
